mobile-broadband-provider-info 20221107-2
modemmanager 1.20.6-1
mpfr 4.2.0-3
mpg123 1.31.2-2
mtdev 1.1.6-2
mtools 1:4.0.42-1
nano 7.2-1
nano-syntax-highlighting 2020.10.10-1
nbd 3.24-1
ncurses 6.4-1
ndctl 75-1
ndisc6 1.0.6-1
neofetch 7.1.0-2
neon 0.32.5-1
netctl 1.28-2
nettle 3.8.1-1
net-tools 2.10-2
networkmanager 1.42.2-1
network-manager-applet 1.30.0-1
networkmanager-openconnect 1.2.8-2
networkmanager-openvpn 1.10.2-1
nfsidmap 2.6.2-1
nfs-utils 2.6.2-1
nftables 1:1.0.6-1
nilfs-utils 2.2.9-2
nm-connection-editor 1.30.0-1
noto-fonts 20230301-1
npth 1.6-3
nspr 4.35-1
nss 3.88.1-1
nss-mdns 0.15.1-1
ntfs-3g 2022.10.3-1
ntp 4.2.8.p15-3
numactl 2.0.16-1
nvidia-dkms 525.89.02-2
nvidia-inst 23-2
nvidia-installer-common 23-3
nvidia-utils 525.89.02-2
oath-toolkit 2.6.7-1
ocl-icd 2.3.1-1
openal 1.23.0-1
openconnect 1:9.01-2
opencore-amr 0.1.6-1
openexr 3.1.5-1
openjpeg2 2.5.0-2
openresolv 3.12.0-1
openssh 9.2p1-1
openssl 3.0.8-1
open-vm-tools 6:12.1.5-2
openvpn 2.6.0-1
opus 1.3.1-3
orc 0.4.33-1
p11-kit 0.24.1-1
pacman 6.0.2-5
pacman-contrib 1.8.2-1
pacman-mirrorlist 20230226-1
pacutils 0.11.1-1
pahole 1:1.24+r29+g02d67c5-1
pam 1.5.2-1
pambase 20221020-1
pango 1:1.50.14-1
pangomm 2.46.3-1
parallel 20230222-1
parole 4.16.0-1
partclone 0.3.23-1
parted 3.5-1
partimage 0.6.9-14
patch 2.7.6-9
pavucontrol 1:5.0+r61+gee77d86-2
pbzip2 1.1.13-3
pciutils 3.9.0-2
pcre2 10.42-2
pcre 8.45-3
pcsclite 1.9.9-2
perl 5.36.0-3
perl-clone 0.46-1
perl-encode-locale 1.05-10
perl-error 0.17029-4
perl-file-listing 6.15-2
perl-html-parser 3.81-1
perl-html-tagset 3.20-13
perl-http-cookies 6.10-3
perl-http-daemon 6.16-1
perl-http-date 6.05-6
perl-http-message 6.44-1
perl-http-negotiate 6.01-11
perl-io-html 1.004-3
perl-libwww 6.67-1
perl-lwp-mediatypes 6.04-3
perl-mailtools 2.21-6
perl-net-http 6.22-2
perl-timedate 2.33-4
perl-try-tiny 0.31-2
perl-uri 5.17-1
perl-www-robotrules 6.02-11
perl-xml-parser 2.46-4
perl-xml-writer 0.900-1
pigz 2.7-3
pinentry 1.2.1-1
pipewire 1:0.3.66-2
pipewire-alsa 1:0.3.66-2
pipewire-audio 1:0.3.66-2
pipewire-jack 1:0.3.66-2
pipewire-pulse 1:0.3.66-2
pixman 0.42.2-1
pixz 1.0.7-4
pkcs11-helper 1.29.0-2
pkgconf 1.8.0-1
pkgfile 21-2
polkit 122-1
polkit-gnome 0.105-9
polkit-qt5 0.114.0-1
poppler 23.03.0-1
poppler-glib 23.03.0-1
popt 1.19-1
portaudio 1:19.7.0-1
power-profiles-daemon 0.12-1
ppp 2.4.9-3
pptpclient 1.10.0-3
procps-ng 3.3.17-1
psmisc 23.6-1
pv 1.6.20-2
python 3.10.9-1
python-cairo 1.23.0-3
python-capng 0.8.3-1
python-colorama 0.4.6-1
python-defusedxml 0.7.1-4
python-future 0.18.2-7
python-gobject 3.42.2-1
python-packaging 23.0-1
python-psutil 5.9.4-1
python-pyaml 21.10.1-1
python-pyqt5 5.15.9-1
python-pyqt5-sip 12.11.1-1
python-shtab 1.5.8-1
python-termcolor 2.2.0-1
python-yaml 6.0-1
qca-qt5 2.3.5-2
qemu-arm-aarch64-static-bin 7.1.0r3-1
qemu-guest-agent 7.2.0-3
qrencode 4.1.1-2
qt5-base 5.15.8+kde+r181-1
qt5ct 1.7-1
qt5-declarative 5.15.8+kde+r24-2
qt5-location 5.15.8+kde+r4-2
qt5-multimedia 5.15.8+kde+r2-1
qt5-quickcontrols2 5.15.8+kde+r7-1
qt5-speech 5.15.8+kde+r1-1
qt5-svg 5.15.8+kde+r8-1
qt5-tools 5.15.8+kde+r1-3
qt5-translations 5.15.8-1
qt5-wayland 5.15.8+kde+r60-1
qt5-webchannel 5.15.8+kde+r3-1
qt5-webengine 5.15.12-3
qt5-x11extras 5.15.8-1
qt5-xmlpatterns 5.15.8-1
qt6-base 6.4.2-1
qt6-declarative 6.4.2-1
qt6-translations 6.4.2-1
raptor 2.0.15-21
rate-mirrors 0.15.0-1
rav1e 0.6.3-1
re2 1:20230301-1
readline 8.2.001-2
rebuild-detector 4.4.1-3
reflector 2021.11-5
reflector-simple 2022.09.01-1
reiserfsprogs 3.6.27-4
ristretto 0.13.0-1
rpcbind 1.2.6-3
rp-pppoe 3.15-2
rsync 3.2.7-3
rtkit 0.13-2
rtmpdump 1:2.4.r99.f1b83c1-2
run-parts 5.5-1
sbc 2.0-1
screen 4.9.0-1
sdl2 2.26.3-1
sed 4.9-3
serd 0.30.16-1
sg3_utils 1.47-1
shadow 4.13-2
shared-mime-info 2.2+13+ga2ffb28-1
slang 2.3.3-2
smartmontools 7.3-1
smbclient 4.17.5-1
s-nail 14.9.24-2
snappy 1.1.9-2
sof-firmware 2.2.4-1
solid 5.103.0-1
sonnet 5.103.0-1
sord 0.16.14-1
sound-theme-freedesktop 0.8-5
soundtouch 2.3.2-1
spandsp 0.0.6-4
speex 1.2.1-1
speexdsp 1.2.1-1
spice-vdagent 0.22.1-3
sqlite 3.41.0-1
squashfs-tools 4.5.1-2
sratom 0.6.14-1
srt 1.5.1-3
sshfs 3.7.3-1
startup-notification 0.12-7
stoken 0.92-4
sudo 1.9.13.p2-1
svt-av1 1.4.1-1
svt-hevc 1.5.1-2
sysfsutils 2.1.1-1
syslinux 6.04.pre2.r11.gbf6db5b4-3
systemd 253.1-1
systemd-libs 253.1-1
systemd-sysvcompat 253.1-1
taglib 1.13-1
talloc 2.4.0-2
tar 1.34-2
tcl 8.6.13-1
tdb 1.4.8-1
tevent 1:0.14.1-1
texinfo 7.0.2-2
thin-provisioning-tools 1.0.2-1
thunar 4.18.4-1
thunar-archive-plugin 0.5.0-2
thunar-media-tags-plugin 0.4.0-1
thunar-volman 4.18.0-1
tinycompress 1.2.8-1
tldr 3.1.0-4
tpm2-tss 3.2.0-3
tracker3 3.4.2-2
tslib 1.22-1
ttf-bitstream-vera 1.10-15
ttf-dejavu 2.37+18+g9b5d1b2f-3
ttf-liberation 2.1.5-1
ttf-opensans 1.101-2
tumbler 4.18.0-1
twolame 0.4.0-2
tzdata 2022g-2
udisks2 2.9.4-1
unrar 1:6.2.6-1
unzip 6.0-19
upower 1.90.0-3
uriparser 0.9.7-1
usb_modeswitch 2.6.1-3
usbmuxd 1.1.1-2
usbutils 015-2
util-linux 2.38.1-3
util-linux-libs 2.38.1-3
v4l-utils 1.22.1-1
vi 1:070224-6
vid.stab 1.1-3
virtualbox-guest-utils 7.0.6-3
vmaf 2.3.1-1
volume_key 0.3.12-7
vpnc 1:0.5.3.r526.r213-1
vte3 0.70.3-1
vte-common 0.70.3-1
vulkan-headers 1:1.3.240-1
vulkan-icd-loader 1.3.240-1
wavpack 5.6.0-1
wayland 1.21.0-2
webkit2gtk 2.38.5-1
webrtc-audio-processing 0.3.1-3
welcome 3.52-1
wget 1.21.3-1
which 2.21-6
whois 5.5.16-1
wildmidi 0.4.5-1
wireless-regdb 2023.02.13-1
wireplumber 0.4.13-1
woff2 1.0.2-4
wpa_supplicant 2:2.10-8
wpebackend-fdo 1.14.1-1
x264 3:0.164.r3095.baee400-4
x265 3.5-3
xapp 2.4.2-1
xcb-proto 1.15.2-2
xcb-util 0.4.1-1
xcb-util-cursor 0.1.4-1
xcb-util-image 0.4.1-2
xcb-util-keysyms 0.4.1-4
xcb-util-renderutil 0.3.10-1
xcb-util-wm 0.4.2-1
xdg-dbus-proxy 0.1.4-1
xdg-user-dirs 0.18-1
xdg-user-dirs-gtk 0.11-1
xdg-utils 1.1.3+25+g8ae0263-1
xed 3.2.8-1
xf86-input-libinput 1.2.1-1
xf86-input-vmmouse 13.2.0-1
xf86-video-amdgpu 23.0.0-1
xf86-video-ati 1:19.1.0.r15.g7a6a34af-1
xf86-video-vmware 13.4.0-1
xfce4-appfinder 4.18.0-1
xfce4-battery-plugin 1.1.4-1
xfce4-datetime-plugin 0.8.3-1
xfce4-mount-plugin 1.1.5-1
xfce4-netload-plugin 1.4.0-1
xfce4-notifyd 0.8.2-1
xfce4-panel 4.18.2-1
xfce4-power-manager 4.18.1-1
xfce4-pulseaudio-plugin 0.4.5-1
xfce4-screensaver 4.16.0-1
